lons,lats,time
514728.405471057,5458772.0209784,2021-11-25 10:57:30.1550
514728.03134885256,5458771.959015771,2021-11-25 10:57:31.1560
514728.18374131765,5458771.705462649,2021-11-25 10:57:32.1550
514728.30026304413,5458771.777172455,2021-11-25 10:57:33.1580
514728.93579579116,5458772.435750986,2021-11-25 10:57:34.1410
514729.01371691807,5458772.567681775,2021-11-25 10:57:35.1660
514729.23667729,5458772.883398196,2021-11-25 10:57:36.1530
514729.86500538414,5458773.7600666685,2021-11-25 10:57:37.1600
514730.472084719,5458774.35705914,2021-11-25 10:57:38.1290
514731.34148136247,5458775.190161402,2021-11-25 10:57:39.1540
514731.77220450086,5458775.709064081,2021-11-25 10:57:40.1820
514731.9630742605,5458776.206292656,2021-11-25 10:57:41.1860
